,list1,list2,list3,list4,sum
ARID3A,True,True,True,True,100.0
MBD2,True,True,True,True,100.0
NR3C1,True,True,True,True,100.0
NR2C2,True,True,True,True,100.0
NFIC,True,True,True,True,100.0
NFIA,True,True,True,True,100.0
NFE2L1,True,True,True,True,100.0
NFATC2,True,True,True,True,100.0
NFATC1,True,True,True,True,100.0
MZF1,True,True,True,True,100.0
ATF1,True,True,True,True,100.0
POU2F1,True,True,True,True,100.0
MAFG,True,True,True,True,100.0
MAFB,True,True,True,True,100.0
MAF,True,True,True,True,100.0
KMT2B,True,True,True,True,100.0
KLF12,True,True,True,True,100.0
JUND,True,True,True,True,100.0
JUN,True,True,True,True,100.0
IRF7,True,True,True,True,100.0
PBX1,True,True,True,True,100.0
PURA,True,True,True,True,100.0
IRF2,True,True,True,True,100.0
TAL1,True,True,True,True,100.0
ZNF333,True,True,True,True,100.0
ZNF148,True,True,True,True,100.0
ZFX,True,True,True,True,100.0
YY1,True,True,True,True,100.0
XBP1,True,True,True,True,100.0
TFE3,True,True,True,True,100.0
TCF3,True,True,True,True,100.0
TBP,True,True,True,True,100.0
STAT6,True,True,True,True,100.0
RFX2,True,True,True,True,100.0
STAT1,True,True,True,True,100.0
SREBF2,True,True,True,True,100.0
SREBF1,True,True,True,True,100.0
SPI1,True,True,True,True,100.0
SP3,True,True,True,True,100.0
RXRA,True,True,True,True,100.0
RUNX3,True,True,True,True,100.0
RUNX1,True,True,True,True,100.0
IRF5,True,True,True,True,100.0
MAX,True,True,True,True,100.0
IRF1,True,True,True,True,100.0
ETS1,True,True,True,True,100.0
CEBPA,True,True,True,True,100.0
FOS,True,True,True,True,100.0
FLI1,True,True,True,True,100.0
ETV6,True,True,True,True,100.0
ETV5,True,True,True,True,100.0
ETS2,True,True,True,True,100.0
EP300,True,True,True,True,100.0
FOXO3,True,True,True,True,100.0
CEBPG,True,True,True,True,100.0
ELK4,True,True,True,True,100.0
ELK3,True,True,True,True,100.0
ELF4,True,True,True,True,100.0
ELF2,True,True,True,True,100.0
ELF1,True,True,True,True,100.0
FOXO1,True,True,True,True,100.0
FOSL2,True,True,True,True,100.0
GABPA,True,True,True,True,100.0
IKZF1,True,True,True,True,100.0
ING4,True,True,True,True,100.0
ILF2,True,True,True,True,100.0
IKZF2,True,True,True,True,100.0
E2F3,True,True,True,True,100.0
GABPB1,True,True,True,True,100.0
CHD1,True,True,True,False,75.0
ZNF518A,False,True,True,True,75.0
CUX1,True,True,False,True,75.0
JUNB,False,True,True,True,75.0
CEBPD,True,True,True,False,75.0
SMAD3,True,True,True,False,75.0
TCF7L2,False,True,True,True,75.0
MECP2,True,True,False,True,75.0
BCLAF1,True,True,False,True,75.0
BPTF,True,True,True,False,75.0
FOXK1,True,True,False,True,75.0
MXD4,True,False,True,True,75.0
PRDM1,True,False,True,True,75.0
USF2,True,False,True,True,75.0
POU2F2,False,True,True,True,75.0
NFE2L2,True,False,True,True,75.0
ZBTB20,True,True,True,False,75.0
CEBPB,True,True,True,False,75.0
GATAD1,True,True,False,True,75.0
BHLHE40,True,True,False,False,50.0
TP53,False,True,False,True,50.0
ZBTB7A,False,True,False,True,50.0
ZNF384,False,True,True,False,50.0
THRB,True,False,True,False,50.0
RFX7,False,True,True,False,50.0
STAT2,False,False,True,True,50.0
PPARG,True,False,True,False,50.0
HMBOX1,False,True,False,True,50.0
HDAC2,False,True,False,True,50.0
IRF3,False,True,False,True,50.0
KLF3,False,True,True,False,50.0
GMEB1,True,False,False,True,50.0
CREB1,True,False,True,False,50.0
ZNF281,True,True,False,False,50.0
RFX1,False,True,True,False,50.0
REL,True,True,False,False,50.0
MITF,False,True,False,False,25.0
TCF4,False,True,False,False,25.0
FOXJ3,True,False,False,False,25.0
HSF1,False,True,False,False,25.0
DEAF1,True,False,False,False,25.0
GTF2IRD1,False,False,False,True,25.0
ZBTB40,True,False,False,False,25.0
RELB,True,False,False,False,25.0
ZNF398,False,False,False,True,25.0
TCF12,False,False,True,False,25.0
FOXN2,False,False,False,True,25.0
